                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3085,                0.89626,                0.98872,                 1.7848,              0.0002373,              0.0002373,              0.0002373
                      2,                0.41665,                 0.9288,                0.99549,                 1.7228,             0.00046589,             0.00046589,             0.00046589
                      3,                0.34169,                0.92494,                0.99613,                 1.7179,             0.00068505,             0.00068505,             0.00068505
                      4,                0.28989,                0.93847,                0.99774,                 1.6964,             0.00067159,             0.00067159,             0.00067159
                      5,                0.24425,                0.94555,                0.99646,                 1.6884,             0.00065745,             0.00065745,             0.00065745
                      6,                0.19693,                 0.9491,                0.99549,                  1.684,             0.00064331,             0.00064331,             0.00064331
                      7,                0.18799,                  0.952,                0.99613,                 1.6787,             0.00062918,             0.00062918,             0.00062918
                      8,                0.17372,                0.95103,                0.99742,                 1.6792,             0.00061504,             0.00061504,             0.00061504
                      9,                0.16634,                0.95103,                0.99678,                 1.6788,              0.0006009,              0.0006009,              0.0006009
                     10,                0.14979,                0.95393,                0.99678,                 1.6742,             0.00058677,             0.00058677,             0.00058677
                     11,                0.13154,                0.95747,                0.99774,                 1.6711,             0.00057263,             0.00057263,             0.00057263
                     12,                 0.1365,                0.95812,                0.99774,                 1.6668,             0.00055849,             0.00055849,             0.00055849
                     13,                0.11414,                0.95876,                 0.9971,                  1.669,             0.00054435,             0.00054435,             0.00054435
                     14,                0.11594,                0.95522,                 0.9971,                  1.668,             0.00053022,             0.00053022,             0.00053022
                     15,                0.10258,                0.95522,                0.99807,                  1.671,             0.00051608,             0.00051608,             0.00051608
                     16,                0.10637,                0.96295,                0.99678,                 1.6621,             0.00050194,             0.00050194,             0.00050194
                     17,                0.10243,                0.95909,                0.99839,                 1.6671,              0.0004878,              0.0004878,              0.0004878
                     18,                0.09154,                0.95973,                0.99774,                 1.6652,             0.00047367,             0.00047367,             0.00047367
                     19,                 0.0893,                0.96102,                0.99807,                 1.6628,             0.00045953,             0.00045953,             0.00045953
                     20,                0.07862,                0.95683,                0.99807,                 1.6662,             0.00044539,             0.00044539,             0.00044539
                     21,                 0.0759,                 0.9636,                0.99774,                 1.6602,             0.00043126,             0.00043126,             0.00043126
                     22,                0.07865,                0.95941,                0.99807,                 1.6629,             0.00041712,             0.00041712,             0.00041712
                     23,                0.07682,                0.96166,                0.99807,                 1.6615,             0.00040298,             0.00040298,             0.00040298
                     24,                0.06929,                0.96424,                0.99839,                 1.6583,             0.00038884,             0.00038884,             0.00038884
                     25,                0.06435,                0.96295,                0.99774,                 1.6597,             0.00037471,             0.00037471,             0.00037471
                     26,                0.05885,                0.96746,                0.99807,                 1.6564,             0.00036057,             0.00036057,             0.00036057
                     27,                 0.0619,                0.96263,                0.99742,                 1.6598,             0.00034643,             0.00034643,             0.00034643
                     28,                  0.059,                0.96682,                0.99774,                 1.6582,              0.0003323,              0.0003323,              0.0003323
                     29,                0.05895,                 0.9636,                0.99807,                 1.6588,             0.00031816,             0.00031816,             0.00031816
                     30,                0.05649,                0.96649,                0.99774,                 1.6561,             0.00030402,             0.00030402,             0.00030402
                     31,                0.04657,                0.96521,                0.99807,                 1.6583,             0.00028988,             0.00028988,             0.00028988
                     32,                0.04853,                0.96714,                0.99742,                 1.6569,             0.00027575,             0.00027575,             0.00027575
                     33,                0.04172,                0.96714,                0.99839,                 1.6568,             0.00026161,             0.00026161,             0.00026161
                     34,                0.03836,                0.96456,                0.99807,                 1.6579,             0.00024747,             0.00024747,             0.00024747
                     35,                0.04385,                0.96746,                0.99774,                 1.6558,             0.00023334,             0.00023334,             0.00023334
                     36,                0.03966,                0.96424,                0.99774,                 1.6562,              0.0002192,              0.0002192,              0.0002192
                     37,                0.03589,                0.96553,                0.99807,                 1.6561,             0.00020506,             0.00020506,             0.00020506
                     38,                0.03762,                0.96521,                0.99774,                 1.6572,             0.00019092,             0.00019092,             0.00019092
                     39,                0.03552,                0.96166,                0.99807,                 1.6583,             0.00017679,             0.00017679,             0.00017679
                     40,                0.03725,                0.96649,                0.99807,                 1.6566,             0.00016265,             0.00016265,             0.00016265
                     41,                0.03266,                0.96649,                 0.9971,                 1.6562,             0.00014851,             0.00014851,             0.00014851
                     42,                0.02905,                0.96585,                0.99774,                 1.6557,             0.00013437,             0.00013437,             0.00013437
                     43,                 0.0263,                0.96424,                0.99807,                 1.6548,             0.00012024,             0.00012024,             0.00012024
                     44,                0.02844,                0.96488,                0.99742,                 1.6548,              0.0001061,              0.0001061,              0.0001061
                     45,                0.03074,                0.96714,                0.99807,                 1.6551,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.02958,                0.96843,                0.99774,                 1.6535,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.02481,                0.96778,                0.99807,                 1.6533,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.02093,                0.96811,                 0.9971,                 1.6532,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.02685,                0.96907,                0.99807,                 1.6536,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.02615,                0.96907,                0.99807,                 1.6528,             2.1277e-05,             2.1277e-05,             2.1277e-05
